"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "expansion"
"154" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0394577286184211
"155" 238626 "05.05.17" 5 5 17 1967 5.3854 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test1" 0.0108414128289474
"156" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "Child_help" "Deco" "San_Step" "Test3" -0.0172425822368421
"157" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "Child_help" "Tower" "San_Step" "Test1" -0.0181397138157895
"158" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "E1_help" "Deco" "San_Step" "Test2" -0.0184938980263158
"159" 240346 "05.05.19" 5 5 19 1969 5.3908 "female" "5y" "E1_help" "Tower" "San_Step" "Test4" -0.0332610559210526
"160" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.0384984890350877
"161" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test3" -0.015495774122807
"162" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test4" -0.0284567543859649
"163" 240642 "05.05.20" 5 5 20 1970 5.3936 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0239167214912281
"164" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.00649374451754386
"165" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test4" -0.00469606030701755
"166" 239845 "05.05.24" 5 5 24 1974 5.4045 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test3" -0.0332482839912281
"167" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test3" -0.000985759868421076
"168" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0483389375
"169" 238360 "05.05.26" 5 5 26 1976 5.41 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test4" -0.00966858881578947
"170" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.00809321414473683
"171" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test3" 0.0230317141447368
"172" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0190917360745614
"173" 238928 "05.05.28" 5 5 28 1978 5.4155 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.0276615694078947
"174" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "Child_help" "Deco" "Nin_Step" "Test2" 0.0380659407894737
"175" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "Child_help" "Tower" "Nin_Step" "Test4" 0.00347874342105264
"176" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "E1_help" "Deco" "Nin_Step" "Test3" -0.0502687171052631
"177" 240349 "05.06.00" 5 6 0 1980 5.4209 "female" "5y" "E1_help" "Tower" "Nin_Step" "Test1" 0.00844879605263159
"178" 238734 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test3" 0.00126746546052632
"179" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test1" -0.018120647368421
"180" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Deco" "Chr_Han" "Test4" 0.00197639210526316
"181" 238373 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.0242091421052632
"182" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test4" 0.0285849725877193
"183" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Tower" "Chr_Han" "Test2" 0.0579233703947368
"184" 240383 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Chr_Han" "Test3" 0.0212421217105263
"185" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "Child_help" "Deco" "Nin_Step" "Test4" -0.00124037280701753
"186" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Deco" "Nin_Step" "Test1" -0.0143572324561403
"187" 240762 "05.06.05" 5 6 5 1985 5.4346 "male" "5y" "E1_help" "Tower" "Nin_Step" "Test3" -0.108944557017544
"188" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test1" 0.00447578728070175
"189" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test3" 0.00430787938596491
"190" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0169075372807018
"191" 238930 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test2" 0.027540826754386
"192" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test4" -0.0118972938596491
"193" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test2" -0.01015225
"194" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test1" 0.0186952236842105
"195" 238484 "05.06.07" 5 6 7 1987 5.4401 "female" "5y" "E1_help" "Tower" "Chr_Han" "Test3" 0.0157134473684211
"196" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "Child_help" "Deco" "Chr_Han" "Test4" -0.0293243858552632
"197" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "Child_help" "Tower" "Chr_Han" "Test2" -0.0182315700657895
"198" 240529 "05.06.09" 5 6 9 1989 5.4456 "female" "5y" "E1_help" "Deco" "Chr_Han" "Test1" 0.0225313707236843
"199" 238463 "05.06.12" 5 6 12 1992 5.4538 "male" "5y" "Child_help" "Deco" "Chr_Han" "Test2" -0.00190811842105263
