"helped"	"Context"	"Condition"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"81"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.828884326_f_D9"	"D9"	5.828884326	-0.0161143750408497	0.0208368313579995
"82"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.859000684_f_D67"	"D67"	5.859000684	0.00877617095588236	0.0154775135643268
"83"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.87816564_f_D49"	"D49"	5.87816564	-0.0307005477941177	0.0116508747036126
"84"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_6.146475017_f_D38"	"D38"	6.146475017	-0.000474960947712431	0.00549684358493201
"85"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E2_5.333333333_f_D97"	"D97"	5.333333333	0.0318512834558823	0.0287799357932706
"86"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.538672142_m_D45"	"D45"	5.538672142	-0.0277686839635854	0.0110633403896432
"87"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.609856263_m_D47"	"D47"	5.609856263	0.00440382500000001	0.0113118563350146
"88"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.642710472_m_D46"	"D46"	5.642710472	0.0758125212418301	0.0338168177061414
"89"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.793292266_m_D23"	"D23"	5.793292266	-0.00216946029411764	0.00926035512175487
"90"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.853524983_m_D70"	"D70"	5.853524983	-0.00159985964052286	0.0137344237715982
"91"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.924709103_m_D40"	"D40"	5.924709103	0.0164174299019608	0.0148308049580806
"92"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D19"	"D19"	5.968514716	-0.00998404411764706	0.0139864633043542
"93"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D8"	"D8"	5.968514716	0.155641463918067	0.0127139345605959
"94"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_6.036960986_m_D39"	"D39"	6.036960986	-0.0003332570961718	0.00879250343908255
"95"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.352498289_f_D54"	"D54"	5.352498289	0.00900528252262442	0.0124849547575044
"96"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.401779603_f_D29"	"D29"	5.401779603	0.0074985943627451	0.0185015284256228
"97"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_f_D73"	"D73"	5.585215606	0.0140988617647059	0.0416427326494196
"98"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.883641342_f_D92"	"D92"	5.883641342	0.0307657935224089	0.00547717147337671
"99"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.366187543_m_D14"	"D14"	5.366187543	-0.0147441128676471	0.00481748991688164
