"helped"	"Context"	"Condition"	"Gender"	"Dyade"	"Target"	"Subject"	"Age"	"Experimenter"	"Mean"	"SD"
"76"	"not_helped"	"con"	"obs"	"m"	"D77"	"target"	"NeeCo3eye_obs_con_target_E1_5.483915127_m_D77"	5.483915127	"E1"	0.00529957148692809	0.00300957898645199
"77"	"not_helped"	"con"	"obs"	"m"	"D81"	"target"	"NeeCo3eye_obs_con_target_E1_6.138261465_m_D81"	6.138261465	"E1"	-0.00267161274509804	0.00348184635101861
"78"	"not_helped"	"con"	"obs"	"m"	"D90"	"target"	"NeeCo3eye_obs_con_target_E2_5.87542779_m_D90"	5.87542779	"E2"	-0.0103477287990196	0.0068079521725996
"79"	"not_helped"	"con"	"unobs"	"f"	"D11"	"target"	"NeeCo3eye_unobs_con_target_E1_5.470225873_f_D11"	5.470225873	"E1"	-0.0465251437908497	0.0162799298455044
"80"	"not_helped"	"con"	"unobs"	"f"	"D38"	"target"	"NeeCo3eye_unobs_con_target_E1_6.146475017_f_D38"	6.146475017	"E1"	0.0109723142156862	0.0194006874908927
"81"	"not_helped"	"con"	"unobs"	"f"	"D49"	"target"	"NeeCo3eye_unobs_con_target_E1_5.87816564_f_D49"	5.87816564	"E1"	0.0206153731617647	0.00765007607063344
"82"	"not_helped"	"con"	"unobs"	"f"	"D66"	"target"	"NeeCo3eye_unobs_con_target_E1_5.568788501_f_D66"	5.568788501	"E1"	0.0365456880656109	0.0118354051807119
"83"	"not_helped"	"con"	"unobs"	"f"	"D67"	"target"	"NeeCo3eye_unobs_con_target_E1_5.859000684_f_D67"	5.859000684	"E1"	-0.00484566053921568	0.00390027309024287
"84"	"not_helped"	"con"	"unobs"	"f"	"D9"	"target"	"NeeCo3eye_unobs_con_target_E1_5.828884326_f_D9"	5.828884326	"E1"	0.040087741748366	0.0109514962422285
"85"	"not_helped"	"con"	"unobs"	"f"	"D97"	"target"	"NeeCo3eye_unobs_con_target_E2_5.333333333_f_D97"	5.333333333	"E2"	0.00786159950980394	0.0358367907445632
"86"	"not_helped"	"con"	"unobs"	"m"	"D19"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D19"	5.968514716	"E1"	0.0024527794117647	0.00753616850335732
"87"	"not_helped"	"con"	"unobs"	"m"	"D23"	"target"	"NeeCo3eye_unobs_con_target_E1_5.793292266_m_D23"	5.793292266	"E1"	-0.000200563235294099	0.00356188513238705
"88"	"not_helped"	"con"	"unobs"	"m"	"D39"	"target"	"NeeCo3eye_unobs_con_target_E1_6.036960986_m_D39"	6.036960986	"E1"	0.00406883849206348	0.0040490476186285
"89"	"not_helped"	"con"	"unobs"	"m"	"D40"	"target"	"NeeCo3eye_unobs_con_target_E1_5.924709103_m_D40"	5.924709103	"E1"	-0.00908264068627452	0.010118879942723
"90"	"not_helped"	"con"	"unobs"	"m"	"D45"	"target"	"NeeCo3eye_unobs_con_target_E1_5.538672142_m_D45"	5.538672142	"E1"	0.0157972493697479	0.00317776096716917
