"Helped"	"Context"	"Observation"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"81"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.828884326_f_D9"	"D9"	5.828884326	0.0239733667075163	0.0101555917742775
"82"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.859000684_f_D67"	"D67"	5.859000684	0.00393051041666668	0.013944414436804
"83"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_5.87816564_f_D49"	"D49"	5.87816564	-0.0100851746323529	0.0107304691927485
"84"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E1_6.146475017_f_D38"	"D38"	6.146475017	0.0104973532679738	0.0144940248626177
"85"	"not_helped"	"con"	"unobs"	"f"	"target"	"NeeCo3eye_unobs_con_target_E2_5.333333333_f_D97"	"D97"	5.333333333	0.0397128829656863	0.0127907064408622
"86"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.538672142_m_D45"	"D45"	5.538672142	-0.0119714345938375	0.0085221055641394
"87"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.609856263_m_D47"	"D47"	5.609856263	-0.0105793039215686	0.00863972854695741
"88"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.642710472_m_D46"	"D46"	5.642710472	0.0598285300653595	0.0327859320758978
"89"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.793292266_m_D23"	"D23"	5.793292266	-0.00237002352941174	0.00686288491552583
"90"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.853524983_m_D70"	"D70"	5.853524983	-0.0163273109477124	0.00963093060422613
"91"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.924709103_m_D40"	"D40"	5.924709103	0.00733478921568626	0.010141239761727
"92"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D19"	"D19"	5.968514716	-0.00753126470588236	0.0108091458916285
"93"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_5.968514716_m_D8"	"D8"	5.968514716	0.0142488305672269	0.00676467198817875
"94"	"not_helped"	"con"	"unobs"	"m"	"target"	"NeeCo3eye_unobs_con_target_E1_6.036960986_m_D39"	"D39"	6.036960986	0.00373558139589168	0.00867960878766745
"95"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.352498289_f_D54"	"D54"	5.352498289	0.00609794457013578	0.0116068734938615
"96"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.401779603_f_D29"	"D29"	5.401779603	-0.0392557365196078	0.0300922129666406
"97"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_f_D73"	"D73"	5.585215606	-0.00538688781512604	0.0439042324668639
"98"	"not_helped"	"incon"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.883641342_f_D92"	"D92"	5.883641342	0.0254473797268908	0.00555503729930653
"99"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.366187543_m_D14"	"D14"	5.366187543	-0.0317910442401961	0.00395092961726528
"100"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.497604381_m_D75"	"D75"	5.497604381	-0.00561658504901961	0.0102607532739897
"101"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.585215606_m_D35"	"D35"	5.585215606	-0.0173199899509804	0.00753396726818951
"102"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.678302533_m_D24"	"D24"	5.678302533	0.0128689257265406	0.00628303801489658
"103"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.754962355_m_D74"	"D74"	5.754962355	0.00249144784663864	0.00537621145078167
"104"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.760438056_m_D17"	"D17"	5.760438056	0.00522973737745098	0.0042958819675992
"105"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E1_5.935660507_m_D28"	"D28"	5.935660507	-0.00938744395424835	0.00725049695451309
"106"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_5.782340862_m_D98"	"D98"	5.782340862	0.0240842219012605	0.0233971486399423
"107"	"not_helped"	"incon"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_incon_nontarget_E2_6.034223135_m_D99"	"D99"	6.034223135	0.0271668594771242	0.00975731171545547
"108"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.325119781_f_D37"	"D37"	5.325119781	0.0158851825396825	0.0162847748493865
"109"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.453798768_f_D61"	"D61"	5.453798768	-0.00840299516806724	0.0272023136866275
"110"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.45927447_f_D6"	"D6"	5.45927447	-0.00147693984593836	0.00456338271170696
"111"	"not_helped"	"incon"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_incon_nontarget_E1_5.470225873_f_D64"	"D64"	5.470225873	-0.0181371947829132	0.00973616498064086
