"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"142"	"20190925T083424_ProShame2_135_w_obs_5_F_E1_13_5.618069815"	"135"	"obs"	"5"	"w"	"5.618069815"	"Test 2"	0.07054465625
"143"	"20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694"	"136"	"obs"	"5"	"w"	"5.01026694"	"Test 1"	-0.0382095608974359
"144"	"20190925T090738_ProShame2_136_w_obs_5_F_E1_13_5.01026694"	"136"	"obs"	"5"	"w"	"5.01026694"	"Test 2"	-0.0827699391025641
"145"	"20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372"	"137"	"obs"	"4"	"m"	"4.947296372"	"Test 1"	-0.087598510576923
"146"	"20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372"	"137"	"obs"	"4"	"m"	"4.947296372"	"Test 2"	-0.0108411548076923
"147"	"20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005"	"138"	"obs"	"4"	"m"	"4.366872005"	"Test 1"	-0.0121387323717949
"148"	"20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005"	"138"	"obs"	"4"	"m"	"4.366872005"	"Test 2"	-0.0644790240384615
"149"	"20190925T103209_ProShame2_140_m_obs_4_F_E2_13_4.440793977"	"140"	"obs"	"4"	"m"	"4.440793977"	"Test 1"	0.0724437596153846
"150"	"20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875"	"141"	"obs"	"5"	"w"	"5.653661875"	"Test 1"	0.0230866009615384
"151"	"20190926T091327_ProShame2_141_w_obs_5_F_E2_14_5.653661875"	"141"	"obs"	"5"	"w"	"5.653661875"	"Test 2"	0.0376104711538462
"152"	"20190926T094044_ProShame2_142_w_obs_5_F_E2_14_5.639972621"	"142"	"obs"	"5"	"w"	"5.639972621"	"Test 1"	-0.0162659370192308
"153"	"20190926T100409_ProShame2_144_m_obs_5_F_E1_14_5.905544148"	"144"	"obs"	"5"	"m"	"5.905544148"	"Test 1"	-0.0321644608516484
"154"	"20190926T103233_ProShame2_145_m_obs_5_F_E1_14_5.56605065"	"145"	"obs"	"5"	"m"	"5.56605065"	"Test 1"	-0.0362453733974359
"155"	"20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487"	"146"	"obs"	"4"	"m"	"4.651608487"	"Test 1"	0.0370965166666667
"156"	"20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487"	"146"	"obs"	"4"	"m"	"4.651608487"	"Test 2"	-0.0099523173076923
"157"	"20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079"	"147"	"obs"	"5"	"w"	"5.319644079"	"Test 1"	0.0406963108974359
"158"	"20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079"	"147"	"obs"	"5"	"w"	"5.319644079"	"Test 2"	0.101263282051282
"159"	"20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561"	"122"	"unobs"	"4"	"w"	"4.558521561"	"Test 1"	-0.00617272115384617
"160"	"20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561"	"122"	"unobs"	"4"	"w"	"4.558521561"	"Test 2"	-0.0147103317307692
"161"	"20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328"	"124"	"unobs"	"4"	"w"	"4.966461328"	"Test 1"	0.0327430903846154
"162"	"20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328"	"124"	"unobs"	"4"	"w"	"4.966461328"	"Test 2"	0.101874961538462
"163"	"20191011T094859_ProShame2_125_w_unobs_4_NA_E1_13_4.878850103"	"125"	"unobs"	"4"	"w"	"4.878850103"	"Test 1"	-0.0461818557692308
"164"	"20191011T100812_ProShame2_126_w_unobs_4_NA_E1_13_4.999315537"	"126"	"unobs"	"4"	"w"	"4.999315537"	"Test 1"	-0.0415495480769231
