Subject	ID	Condition	Age	Gender	Age.cont	Trial	Mean
20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598	39	unobs	5	m	5.034907598	Test_2	-8.783637820513271e-4
20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115	131	obs	5	m	5.04312115	Test_2	0.02913432772435898
20190719T082534_ProShame2_83_m_obs_5_NA_E2_8_5.067761807	83	obs	5	m	5.067761807	Test_2	-0.002021198717948727
20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321	88	obs	5	m	5.07871321	Test_2	-0.07681672179487177
20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464	116	unobs	5	w	5.092402464	Test_2	0.011211418269230767
20190605T092332_ProShame2_18_w_unobs_5_NA_E2_3_5.136208077	18	unobs	5	w	5.136208077	Test_2	0.009625334935897439
20191017T095500_ProShame2_152_w_obs_5_F_E1_15_5.138945927	152	obs	5	w	5.138945927	Test_2	-0.01591127644230773
20190718T101831_ProShame2_37_m_unobs_5_NA_E1_7_5.160848734	37	unobs	5	m	5.160848734	Test_2	-0.009420032051282078
20190626T101624_ProShame2_29_m_unobs_5_NA_E1_6_5.196440794	29	unobs	5	m	5.196440794	Test_2	0.0031381330662393625
20190628T093723_ProShame2_71_w_obs_5_M_E2_5_5.199178645	71	obs	5	w	5.199178645	Test_2	-0.003683556089743557
20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346	110	unobs	5	w	5.204654346	Test_2	-0.0036233684294872007
20190619T092828_ProShame2_58_w_obs_5_M_E2_4_5.281314168	58	obs	5	w	5.281314168	Test_2	0.012989201923076942
20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273	12	unobs	5	m	5.297741273	Test_2	0.0229878865384616
20191010T093256_ProShame2_147_w_obs_5_F_E1_14_5.319644079	147	obs	5	w	5.319644079	Test_2	0.09845162980769238
20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184	46	unobs	5	w	5.336071184	Test_2	-0.0027456250000000293
20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692	87	obs	5	w	5.363449692	Test_2	0.003943677884615382
20190705T104511_ProShame2_82_w_obs_5_M_E2_6_5.399041752	82	obs	5	w	5.399041752	Test_2	-0.01163631250000003
