"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"74"	"20190719T093120_ProShame2_87_w_obs_5_NA_E1_8_5.363449692"	"87"	"obs"	"5"	"w"	"5.363449692"	"Test 2"	0.0870358205128205
"75"	"20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321"	"88"	"obs"	"5"	"m"	"5.07871321"	"Test 1"	0.0691241442307692
"76"	"20190719T094610_ProShame2_88_m_obs_5_M_E1_8_5.07871321"	"88"	"obs"	"5"	"m"	"5.07871321"	"Test 2"	0.118678057692308
"77"	"20190719T101907_ProShame2_90_m_obs_4_M_E2_8_4.396988364"	"90"	"obs"	"4"	"m"	"4.396988364"	"Test 1"	0.0131568717948718
"78"	"20190723T082441_ProShame2_38_w_unobs_4_NA_E1_8_4.629705681"	"38"	"unobs"	"4"	"w"	"4.629705681"	"Test 1"	0.0482751490384615
"79"	"20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598"	"39"	"unobs"	"5"	"m"	"5.034907598"	"Test 1"	-0.00247174999999994
"80"	"20190723T085259_ProShame2_39_m_unobs_5_NA_E2_8_5.034907598"	"39"	"unobs"	"5"	"m"	"5.034907598"	"Test 2"	-0.0130762051282051
"81"	"20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893"	"40"	"unobs"	"4"	"m"	"4.845995893"	"Test 1"	-0.01585624496337
"82"	"20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893"	"40"	"unobs"	"4"	"m"	"4.845995893"	"Test 2"	-0.0220214519230769
"83"	"20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482"	"41"	"unobs"	"4"	"m"	"4.284736482"	"Test 1"	0.1028145
"84"	"20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482"	"41"	"unobs"	"4"	"m"	"4.284736482"	"Test 2"	0.0139874487179487
"85"	"20190723T100731_ProShame2_43_w_unobs_5_NA_E1_8_5.054072553"	"43"	"unobs"	"5"	"w"	"5.054072553"	"Test 1"	-0.052011941025641
"86"	"20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021"	"44"	"unobs"	"4"	"m"	"4.421629021"	"Test 1"	0.0212753605769231
"87"	"20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021"	"44"	"unobs"	"4"	"m"	"4.421629021"	"Test 2"	-0.00854661079059831
"88"	"20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027"	"45"	"unobs"	"4"	"m"	"4.788501027"	"Test 1"	-0.0169043274291498
"89"	"20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027"	"45"	"unobs"	"4"	"m"	"4.788501027"	"Test 2"	-0.021095108974359
"90"	"20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271"	"91"	"obs"	"5"	"m"	"5.60164271"	"Test 1"	0.0221235576923077
"91"	"20190731T085641_ProShame2_91_m_obs_5_F_E1_9_5.60164271"	"91"	"obs"	"5"	"m"	"5.60164271"	"Test 2"	0.0198915673076923
"92"	"20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637"	"92"	"obs"	"5"	"m"	"5.694729637"	"Test 1"	0.00826546474358973
"93"	"20190731T092113_ProShame2_92_m_obs_5_F_E1_9_5.694729637"	"92"	"obs"	"5"	"m"	"5.694729637"	"Test 2"	-0.00674415064102564
"94"	"20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996"	"93"	"obs"	"5"	"w"	"5.724845996"	"Test 1"	-0.0220157908653846
"95"	"20190731T093518_ProShame2_93_w_obs_5_F_E1_9_5.724845996"	"93"	"obs"	"5"	"w"	"5.724845996"	"Test 2"	0.0246549975961539
"96"	"20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232"	"95"	"obs"	"5"	"w"	"5.46201232"	"Test 1"	0.00837699198717948
"97"	"20190731T102726_ProShame2_95_w_obs_5_F_E2_9_5.46201232"	"95"	"obs"	"5"	"w"	"5.46201232"	"Test 2"	0.0313355496794872
"98"	"20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697"	"98"	"obs"	"4"	"w"	"4.684462697"	"Test 1"	-9.80230769230817e-05
"99"	"20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697"	"98"	"obs"	"4"	"w"	"4.684462697"	"Test 2"	-0.0101232314102564
"100"	"20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966"	"99"	"obs"	"4"	"m"	"4.752908966"	"Test 1"	0.00739443990384615
"101"	"20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966"	"99"	"obs"	"4"	"m"	"4.752908966"	"Test 2"	0.0171999341346154
"102"	"20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295"	"100"	"obs"	"4"	"w"	"4.5229295"	"Test 1"	-0.0146566394230769
"103"	"20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295"	"100"	"obs"	"4"	"w"	"4.5229295"	"Test 2"	0.00816841826923077
"104"	"20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694"	"101"	"obs"	"5"	"w"	"5.01026694"	"Test 1"	0.00369909711538459
"105"	"20190801T100235_ProShame2_101_w_obs_5_M_E1_10_5.01026694"	"101"	"obs"	"5"	"w"	"5.01026694"	"Test 2"	-0.0168772692307692
"106"	"20190801T102055_ProShame2_102_m_obs_4_M_E1_10_4.950034223"	"102"	"obs"	"4"	"m"	"4.950034223"	"Test 1"	-0.0280728129807692
"107"	"20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115"	"131"	"obs"	"5"	"m"	"5.04312115"	"Test 1"	-0.00799843990384613
"108"	"20190808T094126_ProShame2_131_m_obs_5_F_E1_11_5.04312115"	"131"	"obs"	"5"	"m"	"5.04312115"	"Test 2"	-0.0184997251602564
"109"	"20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184"	"46"	"unobs"	"5"	"w"	"5.336071184"	"Test 1"	0.0240942807692308
"110"	"20190814T085058_ProShame2_46_w_unobs_5_NA_E2_10_5.336071184"	"46"	"unobs"	"5"	"w"	"5.336071184"	"Test 2"	-0.000854749999999985
"111"	"20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268"	"47"	"unobs"	"4"	"m"	"4.930869268"	"Test 1"	-0.0136096921703297
"112"	"20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268"	"47"	"unobs"	"4"	"m"	"4.930869268"	"Test 2"	-0.0109672163461538
"113"	"20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694"	"48"	"unobs"	"4"	"m"	"4.501026694"	"Test 1"	0.00407731858974358
"114"	"20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694"	"48"	"unobs"	"4"	"m"	"4.501026694"	"Test 2"	0.00382843269230768
"115"	"20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281"	"50"	"unobs"	"4"	"m"	"4.802190281"	"Test 1"	-0.00437661185897436
"116"	"20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281"	"50"	"unobs"	"4"	"m"	"4.802190281"	"Test 2"	-0.00629810416666667
"117"	"20190815T084933_ProShame2_51_m_unobs_4_NA_E1_11_4.837782341"	"51"	"unobs"	"4"	"m"	"4.837782341"	"Test 1"	0.0199757099358974
"118"	"20190815T085953_ProShame2_52_w_unobs_4_NA_E1_11_4.060232717"	"52"	"unobs"	"4"	"w"	"4.060232717"	"Test 1"	0.00826067628205129
"119"	"20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335"	"105"	"unobs"	"4"	"w"	"4.470910335"	"Test 1"	-0.0686522721153846
"120"	"20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335"	"105"	"unobs"	"4"	"w"	"4.470910335"	"Test 2"	-0.0656072561813187
"121"	"20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443"	"106"	"unobs"	"4"	"m"	"4.670773443"	"Test 1"	0.0136220403159341
"122"	"20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443"	"106"	"unobs"	"4"	"m"	"4.670773443"	"Test 2"	0.00957221586538461
"123"	"20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293"	"107"	"unobs"	"4"	"m"	"4.27652293"	"Test 1"	0.0155245240384615
"124"	"20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293"	"107"	"unobs"	"4"	"m"	"4.27652293"	"Test 2"	0.00447312019230768
"125"	"20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647"	"108"	"unobs"	"4"	"m"	"4.336755647"	"Test 1"	-0.00921274038461538
"126"	"20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647"	"108"	"unobs"	"4"	"m"	"4.336755647"	"Test 2"	0.0249274903846154
"127"	"20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346"	"110"	"unobs"	"5"	"w"	"5.204654346"	"Test 1"	0.00454715000000001
"128"	"20190822T085112_ProShame2_110_w_unobs_5_NA_E2_11_5.204654346"	"110"	"unobs"	"5"	"w"	"5.204654346"	"Test 2"	0.0100709576923077
"129"	"20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864"	"112"	"unobs"	"4"	"m"	"4.919917864"	"Test 1"	-0.00175130961538462
"130"	"20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864"	"112"	"unobs"	"4"	"m"	"4.919917864"	"Test 2"	-0.0077594076923077
"131"	"20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464"	"116"	"unobs"	"5"	"w"	"5.092402464"	"Test 1"	-0.0145901717948718
"132"	"20190822T104925_ProShame2_116_w_unobs_5_NA_E1_11_5.092402464"	"116"	"unobs"	"5"	"w"	"5.092402464"	"Test 2"	-0.0240229794871795
"133"	"20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717"	"111"	"unobs"	"4"	"w"	"4.060232717"	"Test 1"	0.0510925324519231
"134"	"20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717"	"111"	"unobs"	"4"	"w"	"4.060232717"	"Test 2"	0.0452896334134615
"135"	"20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723"	"117"	"unobs"	"5"	"m"	"5.472963723"	"Test 1"	-0.0371981576923077
"136"	"20190906T090657_ProShame2_117_m_unobs_5_NA_E1_12_5.472963723"	"117"	"unobs"	"5"	"m"	"5.472963723"	"Test 2"	-0.00112646153846154
"137"	"20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414"	"118"	"unobs"	"4"	"w"	"4.744695414"	"Test 1"	0.0402613605769231
"138"	"20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414"	"118"	"unobs"	"4"	"w"	"4.744695414"	"Test 2"	0.0256056971153846
